Observacion,clase,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,bruises
1315,edible,convex,fibrous,white,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1316,edible,bell,smooth,yellow,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
1317,poisonous,flat,smooth,brown,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
1318,edible,flat,fibrous,white,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1320,poisonous,flat,scaly,brown,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
1322,poisonous,convex,smooth,white,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
1323,edible,flat,smooth,brown,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1324,poisonous,flat,scaly,white,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
1325,edible,flat,smooth,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1326,edible,flat,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1327,edible,convex,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1328,edible,flat,fibrous,brown,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1332,edible,convex,fibrous,green,null,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,white.,partial,white,one,pendant,black,solitary,wood,Presenta
1333,edible,convex,smooth,white,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1334,edible,flat,smooth,white,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1335,edible,convex,smooth,white,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1336,edible,flat,fibrous,green,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1337,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,pink.,partial,white,one,pendant,brown,solitary,wood,Presenta
1339,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1342,edible,flat,smooth,brown,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1343,edible,flat,scaly,yellow,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,solitary,grasses,Presenta
1344,edible,convex,fibrous,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink.,partial,white,one,pendant,black,solitary,wood,Presenta
1345,edible,flat,smooth,green,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1346,edible,convex,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1347,edible,convex,smooth,white,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1348,edible,convex,smooth,white,null,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1350,edible,flat,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1352,edible,flat,smooth,brown,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1353,edible,flat,smooth,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1354,edible,convex,fibrous,white,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1355,edible,flat,fibrous,white,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1356,edible,flat,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1358,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1359,edible,convex,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1362,edible,convex,smooth,white,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1363,edible,convex,fibrous,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,pink.,partial,white,one,pendant,brown,several,wood,Presenta
1365,edible,convex,smooth,green,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1366,edible,flat,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1367,edible,flat,smooth,brown,null,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1368,edible,convex,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1369,edible,flat,scaly,brown,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,scattered,paths,Presenta
1370,edible,convex,smooth,brown,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1371,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,black,several,wood,Presenta
1372,poisonous,convex,smooth,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,urban,Presenta
1375,poisonous,flat,scaly,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
1377,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1379,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1383,poisonous,flat,scaly,white,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
1385,edible,flat,fibrous,green,null,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1386,edible,convex,fibrous,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray.,partial,white,one,pendant,black,several,wood,Presenta
1387,edible,flat,smooth,green,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1388,edible,flat,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1389,poisonous,flat,smooth,brown,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
1390,edible,convex,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1391,edible,convex,smooth,green,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1393,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1394,edible,convex,fibrous,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink.,partial,white,one,pendant,brown,solitary,wood,Presenta
1395,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1396,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,white,gray.,partial,white,one,pendant,brown,several,wood,Presenta
1401,edible,convex,scaly,green,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,white.,partial,white,one,pendant,black,several,wood,Presenta
1402,edible,convex,fibrous,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray.,partial,white,one,pendant,brown,solitary,wood,Presenta
1403,edible,convex,smooth,yellow,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,purple,several,wood,Presenta
1404,edible,flat,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1405,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1409,edible,flat,fibrous,white,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1410,edible,convex,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1411,edible,flat,fibrous,brown,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1413,edible,convex,fibrous,white,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1415,edible,convex,fibrous,white,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1416,edible,flat,smooth,brown,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1418,edible,convex,fibrous,green,null,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1420,edible,flat,scaly,yellow,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,grasses,Presenta
1422,edible,flat,smooth,white,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1423,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1424,edible,flat,fibrous,green,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1427,edible,convex,smooth,green,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1429,edible,flat,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1431,edible,convex,smooth,white,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1432,edible,convex,fibrous,brown,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1435,edible,bell,scaly,yellow,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,numerous,meadows,Presenta
1436,edible,flat,fibrous,green,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1437,edible,convex,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1438,edible,flat,fibrous,white,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1439,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,pink.,partial,white,one,pendant,brown,solitary,wood,Presenta
1440,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray.,partial,white,one,pendant,brown,solitary,wood,Presenta
1441,edible,convex,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1443,edible,convex,fibrous,white,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1444,edible,flat,smooth,green,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1446,edible,convex,scaly,yellow,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,meadows,Presenta
1449,edible,flat,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1450,edible,flat,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1453,edible,convex,scaly,white,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
1454,edible,flat,smooth,white,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1457,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1458,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1462,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1464,edible,flat,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1467,poisonous,convex,smooth,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,scattered,urban,Presenta
1470,poisonous,flat,scaly,white,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,grasses,Presenta
1471,edible,convex,fibrous,white,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1472,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1473,edible,convex,fibrous,white,null,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1474,edible,convex,fibrous,white,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1475,edible,convex,scaly,red,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray.,partial,white,one,pendant,black,solitary,wood,Presenta
1476,edible,flat,fibrous,green,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1477,edible,convex,scaly,yellow,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,black,solitary,grasses,Presenta
1482,edible,flat,fibrous,white,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1484,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1486,edible,flat,smooth,green,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1487,edible,flat,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1488,edible,convex,fibrous,green,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1489,edible,flat,smooth,green,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1490,edible,convex,fibrous,brown,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1491,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,gray.,partial,white,one,pendant,brown,several,wood,Presenta
1493,edible,convex,fibrous,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white.,partial,white,one,pendant,brown,several,wood,Presenta
1495,edible,flat,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1496,edible,flat,fibrous,brown,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1497,edible,convex,fibrous,white,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1498,edible,convex,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1499,edible,flat,smooth,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1501,edible,flat,smooth,white,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1502,edible,convex,smooth,white,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1503,poisonous,convex,scaly,brown,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
1504,edible,flat,fibrous,green,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1505,poisonous,flat,scaly,brown,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,grasses,Presenta
1506,edible,flat,fibrous,white,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1507,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white.,partial,white,one,pendant,black,several,wood,Presenta
1508,edible,convex,fibrous,green,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1509,poisonous,flat,smooth,brown,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,urban,Presenta
1510,edible,flat,smooth,green,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1511,edible,convex,fibrous,brown,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray.,partial,white,one,pendant,brown,several,wood,Presenta
1513,edible,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,scattered,paths,Presenta
1514,edible,flat,fibrous,white,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1515,edible,flat,smooth,white,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1516,edible,convex,fibrous,green,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1520,edible,flat,fibrous,green,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1521,edible,convex,fibrous,green,null,free,close,broad,white,tapering,bulbous,smooth,smooth,white,white.,partial,white,one,pendant,brown,several,wood,Presenta
1522,edible,convex,smooth,green,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1523,edible,flat,smooth,green,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1524,edible,convex,scaly,brown,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white.,partial,white,one,pendant,brown,scattered,grasses,Presenta
1525,edible,convex,scaly,green,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,gray.,partial,white,one,pendant,black,solitary,wood,Presenta
1527,edible,flat,fibrous,white,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1528,edible,flat,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1529,edible,flat,fibrous,white,null,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
1530,edible,flat,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1531,edible,flat,smooth,green,null,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1532,edible,convex,smooth,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1534,edible,convex,smooth,brown,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1536,edible,flat,smooth,white,null,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1537,edible,convex,fibrous,brown,null,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,solitary,urban,No presenta
1538,poisonous,flat,smooth,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,urban,Presenta
1540,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1542,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1546,edible,flat,smooth,brown,null,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1548,edible,convex,fibrous,red,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,pink,pink.,partial,white,one,pendant,black,several,wood,Presenta
1550,edible,convex,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1552,poisonous,flat,smooth,white,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
1553,poisonous,flat,smooth,white,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,scattered,urban,Presenta
1554,edible,flat,fibrous,white,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1555,edible,flat,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1556,edible,flat,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1557,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1558,edible,flat,smooth,brown,null,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1559,poisonous,flat,smooth,white,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white.,partial,white,one,pendant,black,several,grasses,Presenta
1560,edible,flat,smooth,green,null,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1561,edible,convex,smooth,brown,null,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1562,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1563,edible,convex,fibrous,brown,null,free,close,broad,white,tapering,bulbous,smooth,smooth,white,gray.,partial,white,one,pendant,black,several,wood,Presenta
1564,edible,convex,fibrous,brown,null,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,white.,partial,white,one,pendant,brown,several,wood,Presenta
1565,edible,flat,fibrous,white,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,black,abundant,grasses,No presenta
1566,edible,flat,fibrous,white,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1569,edible,flat,smooth,green,null,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1570,edible,convex,smooth,white,null,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1571,edible,convex,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1572,edible,convex,fibrous,brown,null,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white.,partial,white,one,evanescent,brown,abundant,grasses,No presenta
1573,edible,convex,smooth,white,null,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white.,partial,white,one,evanescent,brown,scattered,grasses,No presenta
1574,edible,convex,smooth,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white.,partial,white,one,evanescent,black,scattered,grasses,No presenta
